Итоговое расписание занятий
--------------------------------------------------
Группа 4301 | Предмет Программирование | Время ПТ 5 пара | Аудитория Г-54-18 | Преподаватель Павлов_15
Группа 4307 | Предмет Философия | Время СР 1 пара | Аудитория Г-54-18 | Преподаватель Николаев_73
Группа 4307 | Предмет Английский_язык | Время ПТ 1 пара | Аудитория БМ-41-13 | Преподаватель Орлов_14
Группа 4307 | Предмет Английский_язык | Время ПН 4 пара | Аудитория БМ-42-28 | Преподаватель Борисов_59
Группа 4308 | Предмет Программирование | Время ВТ 4 пара | Аудитория БМ-25-29 | Преподаватель Соколов_45
Группа 4308 | Предмет Высшая_математика | Время ВТ 3 пара | Аудитория Г-31-18 | Преподаватель Петров_1
Группа 4308 | Предмет Физика | Время ПТ 5 пара | Аудитория Г-31-26 | Преподаватель Захаров_77
Группа 4308 | Предмет Физика | Время ВТ 1 пара | Аудитория Г-31-11 | Преподаватель Смирнов_62
Группа 4308 | Предмет Схемотехника | Время СР 2 пара | Аудитория Г-12-26 | Преподаватель Борисов_79
Группа 4308 | Предмет ОС | Время ПН 5 пара | Аудитория Г-55-14 | Преподаватель Степанов_52
Группа 4308 | Предмет ОС | Время СР 1 пара | Аудитория БМ-51-19 | Преподаватель Козлов_7
Группа 4308 | Предмет ТАУ | Время ПН 4 пара | Аудитория БМ-25-05 | Преподаватель Борисов_39
Группа 4308 | Предмет ТАУ | Время СР 3 пара | Аудитория БМ-41-12 | Преподаватель Орлов_54
Группа 4308 | Предмет Микропроцессорные_системы | Время ЧТ 1 пара | Аудитория Г-42-29 | Преподаватель Соколов_25
Группа 4308 | Предмет Защита_информации | Время ЧТ 2 пара | Аудитория БМ-41-13 | Преподаватель Петров_41
Группа 4308 | Предмет Философия | Время ЧТ 4 пара | Аудитория Г-35-21 | Преподаватель Николаев_13
Группа 4308 | Предмет Философия | Время ПН 6 пара | Аудитория Г-43-22 | Преподаватель Зайцев_58
Группа 4308 | Предмет Английский_язык | Время ВТ 2 пара | Аудитория Г-45-12 | Преподаватель Попов_44
Группа 4309 | Предмет Программирование | Время ПТ 5 пара | Аудитория Г-22-28 | Преподаватель Волков_30
Группа 4309 | Предмет Высшая_математика | Время ВТ 4 пара | Аудитория Г-21-12 | Преподаватель Петров_1
Группа 4309 | Предмет Базы_данных | Время ВТ 6 пара | Аудитория Г-23-13 | Преподаватель Кузнецов_63
Группа 4309 | Предмет Схемотехника | Время ЧТ 1 пара | Аудитория Г-21-12 | Преподаватель Борисов_19
Группа 4309 | Предмет Схемотехника | Время ЧТ 3 пара | Аудитория Г-15-07 | Преподаватель Попов_4
Группа 4309 | Предмет Сети_ЭВМ | Время ПТ 3 пара | Аудитория БМ-31-04 | Преподаватель Волков_50
Группа 4309 | Предмет ОС | Время ПТ 2 пара | Аудитория БМ-55-07 | Преподаватель Козлов_7
Группа 4309 | Предмет Алгоритмы_и_структуры_данных | Время СР 5 пара | Аудитория Г-23-15 | Преподаватель Николаев_53
Группа 4309 | Предмет Микропроцессорные_системы | Время ВТ 5 пара | Аудитория Г-12-26 | Преподаватель Соколов_25
Группа 4309 | Предмет Экономика | Время ЧТ 2 пара | Аудитория Г-35-08 | Преподаватель Степанов_12
Группа 4309 | Предмет Экономика | Время ПН 5 пара | Аудитория Г-12-17 | Преподаватель Козлов_27
Группа 4309 | Предмет Английский_язык | Время ПТ 6 пара | Аудитория Г-35-27 | Преподаватель Морозов_29
Группа 4310 | Предмет Программирование | Время ВТ 5 пара | Аудитория Г-22-03 | Преподаватель Павлов_75
Группа 4310 | Предмет Программирование | Время ЧТ 6 пара | Аудитория БМ-35-22 | Преподаватель Иванов_60
Группа 4310 | Предмет Высшая_математика | Время ПТ 2 пара | Аудитория БМ-22-30 | Преподаватель Петров_1
Группа 4310 | Предмет Инженерная_графика | Время СР 2 пара | Аудитория БМ-22-30 | Преподаватель Петров_21
Группа 4310 | Предмет Инженерная_графика | Время ВТ 3 пара | Аудитория Г-12-22 | Преподаватель Лебедев_66
Группа 4310 | Предмет ОС | Время ВТ 6 пара | Аудитория БМ-41-13 | Преподаватель Смирнов_22
Группа 4310 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 2 пара | Аудитория БМ-41-12 | Преподаватель Новиков_68
Группа 4310 | Предмет Экономика | Время ПН 2 пара | Аудитория БМ-42-09 | Преподаватель Степанов_72
Группа 4311 | Предмет Программирование | Время ПН 2 пара | Аудитория БМ-21-09 | Преподаватель Волков_30
Группа 4311 | Предмет Высшая_математика | Время ПН 5 пара | Аудитория Г-53-29 | Преподаватель Петров_61
Группа 4311 | Предмет Высшая_математика | Время ЧТ 2 пара | Аудитория БМ-51-19 | Преподаватель Макаров_76
Группа 4311 | Предмет Базы_данных | Время ВТ 5 пара | Аудитория БМ-34-12 | Преподаватель Кузнецов_3
Группа 4311 | Предмет Базы_данных | Время ПН 4 пара | Аудитория Г-41-24 | Преподаватель Зайцев_18
Группа 4311 | Предмет Схемотехника | Время ПТ 6 пара | Аудитория БМ-53-14 | Преподаватель Попов_4
Группа 4311 | Предмет Сети_ЭВМ | Время ЧТ 5 пара | Аудитория БМ-44-06 | Преподаватель Соколов_5
Группа 4311 | Предмет Сети_ЭВМ | Время ВТ 3 пара | Аудитория БМ-43-21 | Преподаватель Соколов_5
Группа 4311 | Предмет Инженерная_графика | Время СР 2 пара | Аудитория БМ-23-22 | Преподаватель Лебедев_66
Группа 4311 | Предмет Инженерная_графика | Время ПТ 4 пара | Аудитория Г-45-12 | Преподаватель Лебедев_66
Группа 4311 | Предмет Алгоритмы_и_структуры_данных | Время СР 3 пара | Аудитория БМ-35-16 | Преподаватель Николаев_53
Группа 4311 | Предмет ТАУ | Время ЧТ 4 пара | Аудитория БМ-42-09 | Преподаватель Морозов_69
Группа 4311 | Предмет ТАУ | Время ЧТ 3 пара | Аудитория Г-21-12 | Преподаватель Морозов_69
Группа 4311 | Предмет Микропроцессорные_системы | Время ВТ 6 пара | Аудитория Г-45-08 | Преподаватель Соколов_25
Группа 4311 | Предмет Микропроцессорные_системы | Время ПТ 5 пара | Аудитория Г-34-13 | Преподаватель Соколов_25
Группа 4311 | Предмет Защита_информации | Время ПН 6 пара | Аудитория БМ-12-12 | Преподаватель Лебедев_26
Группа 4311 | Предмет Философия | Время ПТ 3 пара | Аудитория Г-54-18 | Преподаватель Кузнецов_43
Группа 4311 | Предмет Философия | Время ВТ 2 пара | Аудитория БМ-22-30 | Преподаватель Новиков_28
Группа 4311 | Предмет Английский_язык | Время СР 1 пара | Аудитория БМ-42-03 | Преподаватель Орлов_14
Группа 4311 | Предмет Английский_язык | Время ЧТ 1 пара | Аудитория Г-31-12 | Преподаватель Попов_44
Группа 4312 | Предмет Программирование | Время СР 3 пара | Аудитория Г-52-20 | Преподаватель Павлов_15
Группа 4312 | Предмет Программирование | Время ВТ 2 пара | Аудитория БМ-25-22 | Преподаватель Соколов_45
Группа 4312 | Предмет Высшая_математика | Время СР 5 пара | Аудитория БМ-25-29 | Преподаватель Макаров_16
Группа 4312 | Предмет Физика | Время ЧТ 3 пара | Аудитория БМ-35-15 | Преподаватель Захаров_77
Группа 4312 | Предмет Схемотехника | Время ВТ 6 пара | Аудитория БМ-35-15 | Преподаватель Морозов_49
Группа 4312 | Предмет Схемотехника | Время ЧТ 4 пара | Аудитория Г-15-07 | Преподаватель Борисов_79
Группа 4312 | Предмет Сети_ЭВМ | Время СР 4 пара | Аудитория БМ-24-10 | Преподаватель Соколов_5
Группа 4312 | Предмет Сети_ЭВМ | Время СР 2 пара | Аудитория Г-22-03 | Преподаватель Иванов_20
Группа 4312 | Предмет ОС | Время ПТ 2 пара | Аудитория Г-53-07 | Преподаватель Смирнов_22
Группа 4312 | Предмет ОС | Время ПН 6 пара | Аудитория Г-53-02 | Преподаватель Захаров_37
Группа 4312 | Предмет ТАУ | Время ВТ 5 пара | Аудитория Г-23-22 | Преподаватель Морозов_69
Группа 4312 | Предмет Защита_информации | Время ПТ 3 пара | Аудитория Г-35-27 | Преподаватель Алексеев_11
Группа 4312 | Предмет Защита_информации | Время ВТ 3 пара | Аудитория Г-23-13 | Преподаватель Петров_41
Группа 4312 | Предмет Философия | Время ЧТ 2 пара | Аудитория Г-55-14 | Преподаватель Новиков_28
Группа 4313 | Предмет Программирование | Время СР 4 пара | Аудитория Г-43-27 | Преподаватель Иванов_60
Группа 4313 | Предмет Схемотехника | Время ЧТ 4 пара | Аудитория БМ-53-14 | Преподаватель Морозов_49
Группа 4313 | Предмет Инженерная_графика | Время ПТ 6 пара | Аудитория БМ-22-30 | Преподаватель Макаров_36
Группа 4313 | Предмет ОС | Время ПН 5 пара | Аудитория Г-35-21 | Преподаватель Смирнов_22
Группа 4313 | Предмет ОС | Время ЧТ 6 пара | Аудитория Г-35-21 | Преподаватель Козлов_67
Группа 4313 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 6 пара | Аудитория Г-42-29 | Преподаватель Новиков_68
Группа 4313 | Предмет Алгоритмы_и_структуры_данных | Время ПН 6 пара | Аудитория БМ-44-07 | Преподаватель Зайцев_38
Группа 4313 | Предмет ТАУ | Время ВТ 5 пара | Аудитория БМ-15-20 | Преподаватель Борисов_39
Группа 4313 | Предмет ТАУ | Время СР 5 пара | Аудитория Г-12-17 | Преподаватель Морозов_9
Группа 4313 | Предмет Микропроцессорные_системы | Время ЧТ 5 пара | Аудитория Г-42-29 | Преподаватель Павлов_55
Группа 4313 | Предмет Философия | Время ПН 2 пара | Аудитория БМ-51-19 | Преподаватель Кузнецов_43
Группа 4313 | Предмет Философия | Время ПН 3 пара | Аудитория Г-21-12 | Преподаватель Зайцев_58
Группа 4313 | Предмет Английский_язык | Время ЧТ 3 пара | Аудитория БМ-25-22 | Преподаватель Орлов_14
Группа 4314 | Предмет Программирование | Время ЧТ 5 пара | Аудитория Г-45-03 | Преподаватель Волков_30
Группа 4314 | Предмет Программирование | Время ЧТ 1 пара | Аудитория Г-52-25 | Преподаватель Соколов_45
Группа 4314 | Предмет Высшая_математика | Время ПН 2 пара | Аудитория Г-21-12 | Преподаватель Макаров_76
Группа 4314 | Предмет Физика | Время ВТ 3 пара | Аудитория БМ-52-06 | Преподаватель Захаров_17
Группа 4314 | Предмет Физика | Время ПТ 5 пара | Аудитория БМ-51-20 | Преподаватель Смирнов_2
Группа 4314 | Предмет Базы_данных | Время ЧТ 4 пара | Аудитория Г-21-20 | Преподаватель Кузнецов_3
Группа 4314 | Предмет Базы_данных | Время ПТ 3 пара | Аудитория Г-11-28 | Преподаватель Новиков_48
Группа 4314 | Предмет Схемотехника | Время ПТ 2 пара | Аудитория Г-53-29 | Преподаватель Морозов_49
Группа 4314 | Предмет Схемотехника | Время СР 5 пара | Аудитория БМ-53-14 | Преподаватель Попов_64
Группа 4314 | Предмет Сети_ЭВМ | Время ЧТ 2 пара | Аудитория БМ-33-14 | Преподаватель Иванов_20
Группа 4314 | Предмет Сети_ЭВМ | Время СР 3 пара | Аудитория Г-45-03 | Преподаватель Волков_50
Группа 4314 | Предмет Инженерная_графика | Время ПН 5 пара | Аудитория Г-55-04 | Преподаватель Макаров_36
Группа 4314 | Предмет Инженерная_графика | Время СР 4 пара | Аудитория Г-45-03 | Преподаватель Лебедев_6
Группа 4314 | Предмет ОС | Время ПН 3 пара | Аудитория Г-23-23 | Преподаватель Степанов_52
Группа 4314 | Предмет ОС | Время ЧТ 3 пара | Аудитория БМ-25-29 | Преподаватель Смирнов_22
Группа 4314 | Предмет ТАУ | Время ВТ 4 пара | Аудитория БМ-22-30 | Преподаватель Морозов_9
Группа 4314 | Предмет Микропроцессорные_системы | Время ВТ 5 пара | Аудитория Г-53-07 | Преподаватель Павлов_55
Группа 4314 | Предмет Защита_информации | Время ЧТ 6 пара | Аудитория БМ-34-02 | Преподаватель Петров_41
Группа 4314 | Предмет Защита_информации | Время ПТ 1 пара | Аудитория Г-53-29 | Преподаватель Макаров_56
Группа 4314 | Предмет Экономика | Время СР 6 пара | Аудитория БМ-42-09 | Преподаватель Смирнов_42
Группа 4314 | Предмет Философия | Время ПН 6 пара | Аудитория Г-45-08 | Преподаватель Кузнецов_43
Группа 4314 | Предмет Философия | Время ВТ 6 пара | Аудитория Г-13-13 | Преподаватель Зайцев_58
Группа 4315 | Предмет Программирование | Время ЧТ 4 пара | Аудитория Г-13-13 | Преподаватель Павлов_15
Группа 4315 | Предмет Высшая_математика | Время ЧТ 3 пара | Аудитория Г-55-14 | Преподаватель Макаров_16
Группа 4315 | Предмет Физика | Время ЧТ 1 пара | Аудитория Г-23-22 | Преподаватель Козлов_47
Группа 4315 | Предмет Физика | Время ВТ 1 пара | Аудитория Г-51-06 | Преподаватель Смирнов_2
Группа 4315 | Предмет Сети_ЭВМ | Время СР 2 пара | Аудитория Г-45-03 | Преподаватель Павлов_35
Группа 4315 | Предмет Сети_ЭВМ | Время СР 6 пара | Аудитория Г-53-07 | Преподаватель Соколов_65
Группа 4315 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 2 пара | Аудитория БМ-42-09 | Преподаватель Зайцев_38
Группа 4315 | Предмет ТАУ | Время ЧТ 2 пара | Аудитория Г-35-21 | Преподаватель Морозов_69
Группа 4315 | Предмет Микропроцессорные_системы | Время ПН 3 пара | Аудитория БМ-44-09 | Преподаватель Соколов_25
Группа 4315 | Предмет Защита_информации | Время СР 5 пара | Аудитория Г-23-13 | Преподаватель Макаров_56
Группа 4315 | Предмет Экономика | Время ПТ 1 пара | Аудитория БМ-44-06 | Преподаватель Козлов_27
Группа 4315 | Предмет Экономика | Время ПН 5 пара | Аудитория Г-23-13 | Преподаватель Смирнов_42
Группа 4315 | Предмет Философия | Время СР 1 пара | Аудитория Г-15-07 | Преподаватель Зайцев_58
Группа 4315 | Предмет Философия | Время ПН 4 пара | Аудитория Г-21-12 | Преподаватель Зайцев_58
Группа 4316 | Предмет Высшая_математика | Время ВТ 4 пара | Аудитория Г-53-29 | Преподаватель Макаров_76
Группа 4316 | Предмет Физика | Время ПТ 4 пара | Аудитория Г-15-03 | Преподаватель Смирнов_62
Группа 4316 | Предмет Физика | Время ВТ 3 пара | Аудитория БМ-12-12 | Преподаватель Козлов_47
Группа 4316 | Предмет Базы_данных | Время ВТ 2 пара | Аудитория БМ-51-08 | Преподаватель Кузнецов_63
Группа 4316 | Предмет Базы_данных | Время СР 5 пара | Аудитория Г-52-25 | Преподаватель Кузнецов_3
Группа 4316 | Предмет Инженерная_графика | Время ЧТ 6 пара | Аудитория Г-21-20 | Преподаватель Макаров_36
Группа 4316 | Предмет Инженерная_графика | Время ПН 1 пара | Аудитория Г-34-13 | Преподаватель Алексеев_51
Группа 4316 | Предмет ТАУ | Время СР 2 пара | Аудитория БМ-24-02 | Преподаватель Морозов_9
Группа 4316 | Предмет ТАУ | Время СР 4 пара | Аудитория Г-53-07 | Преподаватель Морозов_69
Группа 4316 | Предмет Микропроцессорные_системы | Время ВТ 5 пара | Аудитория Г-53-02 | Преподаватель Волков_10
Группа 4317 | Предмет Программирование | Время ЧТ 4 пара | Аудитория Г-51-14 | Преподаватель Иванов_60
Группа 4317 | Предмет Схемотехника | Время ВТ 3 пара | Аудитория БМ-34-12 | Преподаватель Борисов_19
Группа 4317 | Предмет Схемотехника | Время ЧТ 6 пара | Аудитория Г-15-07 | Преподаватель Орлов_34
Группа 4317 | Предмет Сети_ЭВМ | Время СР 3 пара | Аудитория БМ-14-07 | Преподаватель Иванов_20
Группа 4317 | Предмет Сети_ЭВМ | Время ПН 3 пара | Аудитория БМ-44-07 | Преподаватель Волков_50
Группа 4317 | Предмет ОС | Время СР 4 пара | Аудитория Г-31-18 | Преподаватель Смирнов_22
Группа 4317 | Предмет ОС | Время ПТ 1 пара | Аудитория Г-31-18 | Преподаватель Захаров_37
Группа 4317 | Предмет Микропроцессорные_системы | Время ПН 2 пара | Аудитория Г-15-03 | Преподаватель Иванов_40
Группа 4317 | Предмет Микропроцессорные_системы | Время ПТ 2 пара | Аудитория Г-43-22 | Преподаватель Соколов_25
Группа 4317 | Предмет Защита_информации | Время ЧТ 5 пара | Аудитория БМ-41-12 | Преподаватель Алексеев_71
Группа 4317 | Предмет Философия | Время СР 5 пара | Аудитория Г-42-29 | Преподаватель Николаев_13
Группа 4317 | Предмет Философия | Время ПТ 3 пара | Аудитория БМ-34-12 | Преподаватель Новиков_28
Группа 4317 | Предмет Английский_язык | Время ПН 1 пара | Аудитория Г-52-06 | Преподаватель Борисов_59
Группа 4317 | Предмет Английский_язык | Время СР 2 пара | Аудитория Г-11-28 | Преподаватель Орлов_74
Группа 4318 | Предмет Физика | Время ЧТ 4 пара | Аудитория БМ-55-07 | Преподаватель Смирнов_2
Группа 4318 | Предмет Базы_данных | Время ЧТ 6 пара | Аудитория Г-51-06 | Преподаватель Кузнецов_63
Группа 4318 | Предмет Схемотехника | Время ВТ 1 пара | Аудитория Г-15-07 | Преподаватель Орлов_34
Группа 4318 | Предмет Сети_ЭВМ | Время ВТ 2 пара | Аудитория БМ-55-07 | Преподаватель Соколов_5
Группа 4318 | Предмет ОС | Время ПН 1 пара | Аудитория Г-12-26 | Преподаватель Степанов_52
Группа 4318 | Предмет ОС | Время СР 4 пара | Аудитория БМ-53-14 | Преподаватель Захаров_37
Группа 4318 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 5 пара | Аудитория Г-51-14 | Преподаватель Новиков_8
Группа 4318 | Предмет ТАУ | Время СР 2 пара | Аудитория БМ-44-06 | Преподаватель Морозов_69
Группа 4318 | Предмет ТАУ | Время ВТ 3 пара | Аудитория БМ-35-16 | Преподаватель Морозов_69
Группа 4318 | Предмет Микропроцессорные_системы | Время СР 3 пара | Аудитория БМ-44-09 | Преподаватель Волков_10
Группа 4318 | Предмет Микропроцессорные_системы | Время ПТ 3 пара | Аудитория БМ-22-30 | Преподаватель Соколов_25
